Trace
Log Plot
A.29.04,N9000B
306666.733071318,-86.8072504600875
311410.558444676,-83.2256466891618
316227.766016838,-82.7642938799623
321119.490936482,-87.0382907626454
326086.885911893,-87.4089028752489
331131.121482591,-84.1727933757568
336253.386295163,-88.5244709803794
341454.88738336,-85.7463894990845
346736.850452532,-84.528387827407
352100.520168452,-87.0966646113374
357547.160450621,-87.1186942462214
363078.054770101,-85.6581637390654
368694.506451958,-84.9788435433116
374397.838982381,-87.1682294271438
380189.396320561,-87.5583731643557
386070.543215381,-90.1773346347353
392042.665527015,-86.3164681090323
398107.170553497,-86.9259597396546
404265.487362344,-88.5293377114
410519.067127308,-87.8961932735688
416869.383470335,-86.4045993787813
423317.932808821,-87.2789204363029
429866.234708228,-86.2620169775661
436515.832240166,-87.0867282766078
443268.292346009,-86.8648310759233
450125.206206134,-88.8863395729917
457088.189614875,-92.5157574627838
464158.883361278,-90.0903387763096
471338.953615741,-88.9413324199702
478630.092322638,-87.1583117501864
486034.017599022,-91.2451220846513
493552.474139481,-91.2402915946468
501187.233627273,-89.8169637041053
508940.095151809,-87.8747729502602
516812.885632603,-89.4851038326708
524807.460249773,-88.6704076463418
532925.7028812,-90.3317661925248
541169.526546464,-89.8452344879484
549540.873857625,-89.1464567995914
558041.717476996,-88.203079935965
566674.060581991,-90.5536443507994
575439.937337157,-89.1280115808201
584341.413373517,-91.825650859894
593380.586275328,-88.9756763684506
602559.586074358,-91.7960631475486
611880.575751822,-90.5027691647672
621345.751748076,-93.5102955104563
630957.344480193,-92.6394734614713
640717.618867554,-93.2137258179483
650628.874865557,-91.2241592809521
660693.448007596,-91.9692706075191
670913.709955411,-92.1463338432584
681292.069057962,-91.8343400327676
691830.970918936,-91.4136166125194
702532.898973052,-92.1180365413499
713400.375071256,-92.3924902551213
724435.96007499,-93.1732616272705
735642.254459641,-93.8609484200701
747021.898927332,-90.7604808293654
758577.575029184,-94.5392659266522
770312.005797215,-93.0759752932956
782227.956386003,-95.4352081935686
794328.234724281,-94.7572076978522
806615.692176613,-94.4178537590887
819093.224215298,-95.0847132313005
831763.771102671,-94.3558931442304
844630.318583969,-93.5655193550522
857695.898590894,-93.7530981207136
870963.589956081,-91.8629591541389
884436.5191386,-95.0534584299297
898117.860960694,-95.4350566545736
912010.83935591,-94.4985776249545
926118.728128794,-92.2461263350753
940444.851726351,-94.2301094793992
954992.586021436,-98.140987780531
969765.35910825,-96.6902625259502
984766.652110158,-94.3593413152158
1000000,-95.2053854557672
