# Frequency; PSD [dBc/Hz]
3.14331055e+01;-3.97761307e+01
3.14941406e+01;-3.96452560e+01
3.15551758e+01;-3.95311317e+01
3.16162109e+01;-3.93895226e+01
3.16772461e+01;-3.92123985e+01
3.17382812e+01;-3.90788193e+01
3.17993164e+01;-3.89995461e+01
3.18603516e+01;-3.89962959e+01
3.19213867e+01;-3.90726013e+01
3.19824219e+01;-3.92460823e+01
3.20434570e+01;-3.95670738e+01
3.21044922e+01;-3.98740425e+01
3.21655273e+01;-4.00348129e+01
3.22265625e+01;-4.01936111e+01
3.22875977e+01;-4.04819374e+01
3.23486328e+01;-4.07537880e+01
3.24096680e+01;-4.10284538e+01
3.24707031e+01;-4.13160553e+01
3.25317383e+01;-4.13866653e+01
3.25927734e+01;-4.13006477e+01
3.26538086e+01;-4.12584381e+01
3.27148438e+01;-4.12285423e+01
3.27758789e+01;-4.11620331e+01
3.28369141e+01;-4.09847946e+01
3.28979492e+01;-4.07579880e+01
3.29589844e+01;-4.03886871e+01
3.30200195e+01;-4.00565414e+01
3.30810547e+01;-3.97176819e+01
3.31420898e+01;-3.93866158e+01
3.32031250e+01;-3.92152405e+01
3.32641602e+01;-3.92139969e+01
3.33251953e+01;-3.89692421e+01
3.33862305e+01;-3.86034660e+01
3.34472656e+01;-3.81921387e+01
3.35083008e+01;-3.78192787e+01
3.35693359e+01;-3.71499596e+01
3.36303711e+01;-3.61996155e+01
3.36914062e+01;-3.53074493e+01
3.37524414e+01;-3.46479836e+01
3.38134766e+01;-3.41298599e+01
3.38745117e+01;-3.35491409e+01
3.39355469e+01;-3.30923271e+01
3.39965820e+01;-3.28412971e+01
3.40576172e+01;-3.27522392e+01
3.41186523e+01;-3.27699127e+01
3.41796875e+01;-3.30423965e+01
3.42407227e+01;-3.35231361e+01
3.43017578e+01;-3.40036545e+01
3.43627930e+01;-3.44707870e+01
3.44238281e+01;-3.52485085e+01
3.44848633e+01;-3.61444206e+01
3.45458984e+01;-3.69932899e+01
3.46069336e+01;-3.77593040e+01
3.46679688e+01;-3.86932182e+01
3.47290039e+01;-3.95008354e+01
3.47900391e+01;-4.00441399e+01
3.48510742e+01;-4.05345421e+01
3.49121094e+01;-4.09724579e+01
3.49731445e+01;-4.14726105e+01
3.50341797e+01;-4.21261330e+01
3.50952148e+01;-4.27328835e+01
3.51562500e+01;-4.30677338e+01
3.52172852e+01;-4.33940735e+01
3.52783203e+01;-4.37368851e+01
3.53393555e+01;-4.37762337e+01
3.54003906e+01;-4.37755013e+01
3.54614258e+01;-4.40491829e+01
3.55224609e+01;-4.41475983e+01
3.55834961e+01;-4.40882492e+01
3.56445312e+01;-4.40312309e+01
3.57055664e+01;-4.40024605e+01
3.57666016e+01;-4.40569649e+01
3.58276367e+01;-4.40177498e+01
3.58886719e+01;-4.40257378e+01
3.59497070e+01;-4.41203575e+01
3.60107422e+01;-4.40944557e+01
3.60717773e+01;-4.41797066e+01
3.61328125e+01;-4.44502373e+01
3.61938477e+01;-4.47258797e+01
3.62548828e+01;-4.50359154e+01
3.63159180e+01;-4.52151947e+01
3.63769531e+01;-4.54075775e+01
3.64379883e+01;-4.57273102e+01
3.64990234e+01;-4.59823151e+01
3.65600586e+01;-4.61531525e+01
3.66210938e+01;-4.62993507e+01
3.66821289e+01;-4.61112556e+01
3.67431641e+01;-4.57343483e+01
3.68041992e+01;-4.55173950e+01
3.68652344e+01;-4.53935547e+01
3.69262695e+01;-4.52388344e+01
3.69873047e+01;-4.50761490e+01
3.70483398e+01;-4.47761421e+01
3.71093750e+01;-4.45622025e+01
3.71704102e+01;-4.45092010e+01
3.72314453e+01;-4.46838760e+01
3.72924805e+01;-4.49254303e+01
3.73535156e+01;-4.50214958e+01
3.74145508e+01;-4.52391891e+01
3.74755859e+01;-4.55848999e+01
3.75366211e+01;-4.58682594e+01
3.75976562e+01;-4.62704430e+01
3.76586914e+01;-4.64912910e+01
3.77197266e+01;-4.65747833e+01
3.77807617e+01;-4.66142883e+01
3.78417969e+01;-4.66372681e+01
3.79028320e+01;-4.65665741e+01
3.79638672e+01;-4.64513550e+01
3.80249023e+01;-4.63627701e+01
3.80859375e+01;-4.62098732e+01
3.81469727e+01;-4.60022659e+01
3.82080078e+01;-4.58569756e+01
3.82690430e+01;-4.56377869e+01
3.83300781e+01;-4.53756447e+01
3.83911133e+01;-4.51012383e+01
3.84521484e+01;-4.48352470e+01
3.85131836e+01;-4.46180382e+01
3.85742188e+01;-4.43900375e+01
3.86352539e+01;-4.42526550e+01
3.86962891e+01;-4.41553383e+01
3.87573242e+01;-4.40941658e+01
3.88183594e+01;-4.40832481e+01
